course_name,entry_date,student_number,student_name,class_number,grade1,grade2,grade3,grade4,grade5,grade6,note1,note2
英語コミュニケーション,2025-09-23,008,小林 愛,2-A,4,1,2,96.3,,,普通,
英語コミュニケーション,2025-09-23,016,井上 拓也,2-C,2,4,2,,77.8,,,
英語コミュニケーション,2025-09-23,021,斎藤 大輔,1-B,1,3,4,,,,要注意,
英語コミュニケーション,2025-09-23,006,小林 誠,1-A,1,3,,,95.9,,要注意,
英語コミュニケーション,2025-09-23,011,清水 誠,1-A,3,3,2,66.4,,,普通,
物理基礎,2025-09-23,004,松本 美咲,1-A,4,0,2,78.4,,,,
物理基礎,2025-09-23,010,松本 拓也,2-A,3,0,2,,,,,
物理基礎,2025-09-23,011,清水 健太,1-A,0,1,,95.2,,,,
物理基礎,2025-09-23,002,吉田 美咲,1-A,1,3,2,,,,普通,
物理基礎,2025-09-23,018,小林 拓也,1-A,0,1,3,72.1,,,,
物理基礎,2025-09-23,015,中村 剛,1-B,0,1,,93.1,,,要注意,
物理基礎,2025-09-23,006,加藤 結衣,2-A,3,2,3,,,,,
物理基礎,2025-09-23,003,田中 凛,1-C,2,3,0,,,,普通,
物理基礎,2025-09-23,012,林 翔,1-B,1,1,0,,,,要注意,
物理基礎,2025-09-23,021,田中 陽菜,2-C,0,3,0,,,,要注意,
物理基礎,2025-09-23,007,斎藤 凛,2-B,3,3,,,80.0,,,
物理基礎,2025-09-23,008,伊藤 陽菜,2-C,1,4,,,,,要注意,
物理基礎,2025-09-23,017,伊藤 剛,2-C,0,2,1,85.0,69.8,,良好,
物理基礎,2025-09-23,020,林 さくら,2-C,1,1,,95.0,,,要注意,
化学基礎,2025-09-23,005,林 翔,1-A,1,1,,81.4,67.9,,,
化学基礎,2025-09-23,002,佐藤 誠,1-A,4,2,,98.1,,,普通,
化学基礎,2025-09-23,014,山口 楓,2-C,1,2,4,,,,,
化学基礎,2025-09-23,017,伊藤 美咲,1-B,3,3,3,81.8,99.5,,普通,
化学基礎,2025-09-23,004,井上 修,2-C,4,3,,71.9,,,,
化学基礎,2025-09-23,016,斎藤 楓,1-A,0,3,4,91.2,73.4,,,
化学基礎,2025-09-23,020,林 健太,1-B,4,2,0,,,,,
化学基礎,2025-09-23,011,山本 楓,2-B,0,3,1,,,,普通,
化学基礎,2025-09-23,018,佐藤 修,2-B,3,1,4,69.6,,,良好,
化学基礎,2025-09-23,012,林 健太,1-A,1,2,,,,,,
化学基礎,2025-09-23,010,佐々木 誠,1-C,2,0,4,76.9,,,要注意,
化学基礎,2025-09-23,006,松本 誠,1-A,0,4,,77.0,,,,
化学基礎,2025-09-23,019,林 楓,2-B,4,0,4,95.5,88.3,,普通,
化学基礎,2025-09-23,008,木村 葵,1-A,3,4,,72.0,,,良好,
日本史A,2025-09-23,002,山田 花子,2-B,3,4,0,,,,良好,
日本史A,2025-09-23,007,鈴木 剛,2-C,0,3,4,81.3,,,良好,
日本史A,2025-09-23,017,佐々木 太郎,1-B,4,1,,,,,,
日本史A,2025-09-23,015,清水 葵,1-A,2,1,0,,,,,
日本史A,2025-09-23,019,井上 愛,2-C,3,1,4,,,,要注意,
日本史A,2025-09-23,008,中村 結衣,2-C,2,0,4,88.0,,,,
日本史A,2025-09-23,012,中村 さくら,2-A,1,1,,,,,良好,
日本史A,2025-09-23,011,清水 優奈,1-C,0,0,1,,,,,
日本史A,2025-09-23,001,高橋 陽菜,1-C,0,0,0,81.0,,,要注意,
日本史A,2025-09-23,010,鈴木 勇,2-C,2,1,,70.3,69.1,,,
日本史A,2025-09-23,022,清水 愛,2-A,2,0,3,69.2,,,要注意,
日本史A,2025-09-23,021,山田 剛,1-C,1,4,4,63.8,89.5,,良好,
日本史A,2025-09-23,005,渡辺 陽菜,2-C,2,1,,63.8,,,,
日本史A,2025-09-23,006,清水 優奈,1-B,3,2,1,,,,,
日本史A,2025-09-23,004,林 花子,1-C,1,4,4,82.8,,,要注意,
日本史A,2025-09-23,023,高橋 さくら,1-B,2,3,2,,,,普通,
数学I,2025-09-26,012,松本 さくら,2-B,2,1,0,,62.7,,普通,
数学I,2025-09-26,013,山本 翔,2-A,0,3,3,,,,要注意,
数学I,2025-09-26,009,清水 健太,2-B,1,3,0,66.4,,,要注意,
数学I,2025-09-26,023,加藤 美咲,1-C,1,2,,93.4,,,,
数学I,2025-09-26,020,渡辺 美咲,2-C,1,3,4,,72.2,,普通,
数学I,2025-09-26,007,山口 拓也,1-A,1,0,2,68.3,,,,
数学I,2025-09-26,004,鈴木 美咲,2-C,0,4,0,,,,,
数学I,2025-09-26,015,伊藤 誠,1-C,0,2,,76.0,60.5,,良好,
数学I,2025-09-26,025,加藤 愛,1-C,4,0,,,81.9,,,
数学I,2025-09-26,005,吉田 結衣,1-B,2,4,3,,95.3,,,
数学I,2025-09-26,006,伊藤 楓,1-B,0,1,3,,,,,
数学I,2025-09-26,022,渡辺 凛,1-B,1,1,2,63.0,,,良好,
数学I,2025-09-26,001,加藤 太郎,2-B,0,4,1,83.0,,,要注意,
数学I,2025-09-26,011,伊藤 花子,1-C,0,1,3,95.2,76.3,,,
数学I,2025-09-26,014,山田 次郎,1-B,2,4,,,,,普通,
数学I,2025-09-26,003,鈴木 さくら,2-C,0,1,,,,,,
数学I,2025-09-26,017,斎藤 大輔,2-C,2,2,0,79.3,,,,
数学II,2025-09-26,015,鈴木 美咲,1-A,1,3,2,,,,普通,
数学II,2025-09-26,008,井上 凛,2-A,2,3,,67.2,,,要注意,
数学II,2025-09-26,009,田中 次郎,1-B,0,1,,69.9,,,要注意,
数学II,2025-09-26,017,山田 健太,1-A,2,0,,,65.6,,,
数学II,2025-09-26,004,渡辺 太郎,2-C,1,4,2,99.3,,,良好,
数学II,2025-09-26,011,高橋 葵,2-A,1,0,1,98.0,,,,
数学II,2025-09-26,016,中村 剛,2-C,4,2,1,,,,要注意,
数学II,2025-09-26,010,井上 結衣,2-C,2,2,0,,,,普通,
数学II,2025-09-26,022,松本 勇,1-A,4,2,3,70.3,,,良好,
数学II,2025-09-26,012,渡辺 美咲,1-A,1,1,3,,,,良好,
数学II,2025-09-26,026,斎藤 優奈,1-B,1,2,2,,,,普通,
数学II,2025-09-26,001,加藤 剛,2-C,1,1,,,,,,
数学II,2025-09-26,018,斎藤 拓也,2-B,3,0,,78.3,,,,
数学II,2025-09-26,019,加藤 大輔,2-A,1,3,,90.2,,,,
数学II,2025-09-26,002,山本 美咲,2-B,3,3,0,,,,,
数学II,2025-09-26,020,加藤 陽菜,1-C,3,4,1,90.6,,,,
数学II,2025-09-26,006,林 剛,2-C,2,0,,,,,,
数学II,2025-09-26,003,佐々木 花子,2-B,1,3,2,73.0,,,普通,
英語コミュニケーション,2025-09-26,021,斎藤 大輔,1-B,2,1,3,,,,,
英語コミュニケーション,2025-09-26,003,井上 修,1-A,4,0,,,,,普通,
英語コミュニケーション,2025-09-26,010,松本 拓也,2-C,3,4,4,,,,,
英語コミュニケーション,2025-09-26,002,松本 大輔,2-C,1,4,2,91.6,,,,
英語コミュニケーション,2025-09-26,016,井上 拓也,2-C,2,1,1,85.2,87.7,,,
英語コミュニケーション,2025-09-26,014,中村 凛,2-C,0,3,1,,,,,
英語コミュニケーション,2025-09-26,011,清水 誠,1-A,1,1,,77.4,,,,
英語コミュニケーション,2025-09-26,005,清水 翔,2-B,2,1,1,,,,,
英語コミュニケーション,2025-09-26,001,小林 美咲,1-B,2,3,2,,,,,
英語コミュニケーション,2025-09-26,015,山口 凛,1-A,4,2,,,,,,
英語コミュニケーション,2025-09-26,018,斎藤 愛,2-C,3,4,0,91.2,,,普通,
英語コミュニケーション,2025-09-26,008,小林 愛,2-A,1,3,0,80.8,,,普通,
英語コミュニケーション,2025-09-26,013,木村 太郎,1-C,2,0,0,61.5,,,,
英語コミュニケーション,2025-09-26,022,渡辺 健太,2-A,4,3,4,67.6,,,普通,
英語コミュニケーション,2025-09-26,004,清水 美咲,2-C,0,2,,78.0,,,要注意,
物理基礎,2025-09-26,015,中村 剛,1-B,2,3,,,,,良好,
物理基礎,2025-09-26,001,高橋 陽菜,2-B,4,1,4,70.1,67.3,,良好,
物理基礎,2025-09-26,019,佐藤 勇,2-C,1,3,0,,,,良好,
物理基礎,2025-09-26,012,林 翔,1-B,4,3,3,92.5,,,普通,
物理基礎,2025-09-26,010,松本 拓也,2-A,4,0,0,,91.1,,,
物理基礎,2025-09-26,016,佐藤 剛,2-B,2,4,2,,92.9,,良好,
物理基礎,2025-09-26,018,小林 拓也,1-A,3,1,1,95.4,85.7,,,
物理基礎,2025-09-26,020,林 さくら,2-C,2,0,4,,60.4,,,
物理基礎,2025-09-26,021,田中 陽菜,2-C,4,4,4,96.6,,,,
物理基礎,2025-09-26,004,松本 美咲,1-A,3,4,0,89.2,87.9,,,
物理基礎,2025-09-26,008,伊藤 陽菜,2-C,2,2,,62.3,74.6,,良好,
物理基礎,2025-09-26,014,林 美咲,2-C,2,0,,,69.3,,要注意,
物理基礎,2025-09-26,002,吉田 美咲,1-A,4,2,4,69.0,,,,
物理基礎,2025-09-26,003,田中 凛,1-C,2,1,4,99.4,,,,
化学基礎,2025-09-26,020,林 健太,1-B,2,4,0,82.9,74.0,,,
化学基礎,2025-09-26,001,井上 愛,1-B,3,0,,,,,要注意,
化学基礎,2025-09-26,010,佐々木 誠,1-C,0,2,3,83.8,,,良好,
化学基礎,2025-09-26,018,佐藤 修,2-B,4,4,2,64.4,98.6,,普通,
化学基礎,2025-09-26,013,渡辺 楓,2-B,0,2,,73.5,,,,
化学基礎,2025-09-26,008,木村 葵,1-A,3,4,,87.8,,,,
化学基礎,2025-09-26,015,山本 太郎,1-C,0,3,4,,77.1,,,
化学基礎,2025-09-26,017,伊藤 美咲,1-B,3,2,,82.3,,,普通,
化学基礎,2025-09-26,014,山口 楓,2-C,2,1,,,,,要注意,
化学基礎,2025-09-26,011,山本 楓,2-B,2,2,1,,,,,
化学基礎,2025-09-26,016,斎藤 楓,1-A,2,2,,81.5,,,要注意,
化学基礎,2025-09-26,009,加藤 葵,2-A,4,1,,75.2,,,普通,
化学基礎,2025-09-26,005,林 翔,1-A,4,1,,,,,要注意,
化学基礎,2025-09-26,019,林 楓,2-B,4,0,0,,,,普通,
日本史A,2025-09-26,007,鈴木 剛,2-C,0,3,,,64.6,,,
日本史A,2025-09-26,023,高橋 さくら,1-B,3,2,2,68.8,,,,
日本史A,2025-09-26,018,清水 花子,1-B,1,4,,88.7,,,,
日本史A,2025-09-26,021,山田 剛,1-C,4,3,2,61.7,,,,
日本史A,2025-09-26,022,清水 愛,2-A,3,2,1,68.4,89.0,,要注意,
日本史A,2025-09-26,006,清水 優奈,1-B,4,1,,,,,,
日本史A,2025-09-26,003,吉田 拓也,2-B,3,4,4,79.1,85.6,,,
日本史A,2025-09-26,005,渡辺 陽菜,2-C,2,1,,,,,要注意,
日本史A,2025-09-26,011,清水 優奈,1-C,1,1,2,90.5,,,要注意,
日本史A,2025-09-26,016,高橋 愛,1-A,4,3,0,,,,,
日本史A,2025-09-26,012,中村 さくら,2-A,0,2,1,76.1,,,,
日本史A,2025-09-26,013,小林 太郎,2-A,0,2,0,71.0,,,良好,
日本史A,2025-09-26,017,佐々木 太郎,1-B,1,4,4,,,,,
日本史A,2025-09-26,009,小林 健太,2-B,0,3,1,64.6,,,,
日本史A,2025-09-26,015,清水 葵,1-A,2,2,1,,,,,
日本史A,2025-09-26,020,佐々木 凛,2-A,0,2,,,82.3,,,
数学I,2025-09-29,013,山本 翔,2-A,2,1,,97.0,91.4,,良好,
数学I,2025-09-29,001,加藤 太郎,2-B,1,2,,,,,普通,
数学I,2025-09-29,011,伊藤 花子,1-C,4,2,,83.5,,,,
数学I,2025-09-29,015,伊藤 誠,1-C,1,1,2,,,,良好,
数学I,2025-09-29,006,伊藤 楓,1-B,4,3,0,75.8,,,良好,
数学I,2025-09-29,014,山田 次郎,1-B,1,2,1,,,,,
数学I,2025-09-29,008,加藤 大輔,1-A,0,4,1,62.8,,,,
数学I,2025-09-29,022,渡辺 凛,1-B,0,3,3,61.3,,,,
数学I,2025-09-29,009,清水 健太,2-B,0,4,2,,,,,
数学I,2025-09-29,024,佐々木 葵,2-B,1,3,,73.4,,,普通,
数学I,2025-09-29,023,加藤 美咲,1-C,0,3,,98.4,,,,
数学I,2025-09-29,003,鈴木 さくら,2-C,2,0,,74.6,,,,
数学I,2025-09-29,021,斎藤 大輔,2-C,3,4,,,,,,
数学I,2025-09-29,005,吉田 結衣,1-B,4,2,,95.3,,,,
数学I,2025-09-29,017,斎藤 大輔,2-C,4,4,2,,63.2,,,
数学I,2025-09-29,002,小林 翔,1-C,2,4,3,74.2,84.0,,要注意,
数学I,2025-09-29,016,佐藤 大輔,2-C,3,1,,,73.7,,普通,
数学II,2025-09-29,021,吉田 太郎,1-B,4,4,,,99.1,,,
数学II,2025-09-29,005,佐々木 愛,2-A,4,0,,,90.7,,良好,
数学II,2025-09-29,004,渡辺 太郎,2-C,4,2,0,61.2,66.3,,,
数学II,2025-09-29,020,加藤 陽菜,1-C,4,3,0,,,,,
数学II,2025-09-29,026,斎藤 優奈,1-B,1,4,,82.7,83.2,,,
数学II,2025-09-29,001,加藤 剛,2-C,4,2,2,68.2,67.2,,要注意,
数学II,2025-09-29,003,佐々木 花子,2-B,3,1,0,95.5,,,普通,
数学II,2025-09-29,013,加藤 美咲,2-A,2,0,2,,98.6,,普通,
数学II,2025-09-29,006,林 剛,2-C,4,1,1,,,,,
数学II,2025-09-29,010,井上 結衣,2-C,1,0,4,,,,良好,
数学II,2025-09-29,012,渡辺 美咲,1-A,1,4,,,,,,
数学II,2025-09-29,011,高橋 葵,2-A,3,4,2,,,,,
数学II,2025-09-29,014,山田 優奈,1-C,0,2,,64.4,86.8,,,
数学II,2025-09-29,015,鈴木 美咲,1-A,4,3,2,,,,,
数学II,2025-09-29,007,山口 葵,2-B,0,0,2,,74.4,,,
数学II,2025-09-29,018,斎藤 拓也,2-B,0,0,4,62.6,,,,
数学II,2025-09-29,016,中村 剛,2-C,4,1,3,75.3,95.7,,,
数学II,2025-09-29,023,小林 愛,2-C,3,0,4,64.1,95.4,,要注意,
英語コミュニケーション,2025-09-29,006,小林 誠,1-A,0,3,,92.0,,,,
英語コミュニケーション,2025-09-29,012,清水 勇,1-A,3,3,3,,90.4,,良好,
英語コミュニケーション,2025-09-29,020,山田 健太,2-B,0,2,,75.8,,,,
英語コミュニケーション,2025-09-29,015,山口 凛,1-A,2,1,0,,,,,
英語コミュニケーション,2025-09-29,016,井上 拓也,2-C,0,3,0,78.4,,,要注意,
英語コミュニケーション,2025-09-29,021,斎藤 大輔,1-B,3,1,4,,,,普通,
英語コミュニケーション,2025-09-29,018,斎藤 愛,2-C,3,4,3,89.6,,,,
英語コミュニケーション,2025-09-29,007,山田 楓,1-C,2,2,2,,,,,
英語コミュニケーション,2025-09-29,011,清水 誠,1-A,1,4,2,,,,普通,
英語コミュニケーション,2025-09-29,001,小林 美咲,1-B,0,2,,,,,,
英語コミュニケーション,2025-09-29,005,清水 翔,2-B,2,2,0,,,,要注意,
英語コミュニケーション,2025-09-29,017,井上 大輔,2-A,0,4,0,71.3,64.2,,良好,
英語コミュニケーション,2025-09-29,008,小林 愛,2-A,4,1,2,,,,普通,
英語コミュニケーション,2025-09-29,002,松本 大輔,2-C,2,4,4,,,,,
英語コミュニケーション,2025-09-29,004,清水 美咲,2-C,3,2,2,,75.9,,,
物理基礎,2025-09-29,021,田中 陽菜,2-C,0,1,,,,,良好,
物理基礎,2025-09-29,003,田中 凛,1-C,0,4,,63.0,,,,
物理基礎,2025-09-29,012,林 翔,1-B,2,1,1,,63.3,,,
物理基礎,2025-09-29,013,木村 誠,2-C,0,1,,,,,良好,
物理基礎,2025-09-29,015,中村 剛,1-B,0,3,3,,,,,
物理基礎,2025-09-29,018,小林 拓也,1-A,2,1,3,,,,,
物理基礎,2025-09-29,017,伊藤 剛,2-C,1,2,4,,,,,
物理基礎,2025-09-29,007,斎藤 凛,2-B,2,0,4,90.0,,,要注意,
物理基礎,2025-09-29,016,佐藤 剛,2-B,3,0,,88.3,97.6,,,
物理基礎,2025-09-29,014,林 美咲,2-C,1,1,2,,,,,
物理基礎,2025-09-29,010,松本 拓也,2-A,3,3,,89.5,,,,
物理基礎,2025-09-29,004,松本 美咲,1-A,3,1,4,71.1,,,要注意,
物理基礎,2025-09-29,008,伊藤 陽菜,2-C,3,4,,,,,,
物理基礎,2025-09-29,005,清水 次郎,2-C,3,0,,,,,,
